TASK_LEGACY_NAME,TASK_LEGACY_STKSZ_KB
a2_stksz,16384
a2_ul_per_stksz,16384
al1_stksz,2048
audioinit_stksz,2048
auth_stksz,4096
bcdb_stksz,8192
bt_stksz,16384
bt_fs_stksz,2048
bt_ftm_stksz,4096
bt_pf_stksz,8192
camera_drv_stksz,4608
cb_stksz,8192
cc_stksz,16384
cd_stksz,24576
cm_stksz,12288
cne_stksz,8192
cnv_stksz,16384
comp_stksz,16384
contentagentdiag_stksz,16384
dcc_stksz,16384
dem_hi_stksz,2048
dem_lo_stksz,2048
dh_stksz,4096
disp_stksz,8192
ds_stksz,8192
ds_gcsd_stksz,8192
ds_mux_stksz,8192
ds_sig_stksz,8192
dswcsd_dl_stksz,8192
dswcsd_ul_stksz,8192
dtv_stksz,16384
dynamicloader_stksz,8192
ecall_app_stksz,8192
ecall_ivs_stksz,8192
ecall_psap_stksz,8192
efs_srvr_stksz,16384
fc_stksz,4096
fmrds_stksz,8192
ftm_stksz,6144
gfx_stksz,14336
gnss_sdp_stksz,16384
gplt_stksz,12288
gprs_llc_stksz,8192
gprs_mac_stksz,8192
gprs_rlc_dl_stksz,8192
gprs_rlc_ul_stksz,8192
gps_fs_stksz,16384
gpsfft_stksz,8192
gpssrch_stksz,12288
gpssrch_demod_stksz,12288
graph_stksz,13152
graphics_stksz,3072
gsdi_stksz,8192
gsdi_uim_server_stksz,4096
gsm_l1_stksz,8000
gsm_l2_stksz,4000
gstk_stksz,16384
hdrbc_stksz,4200
hdrdec_stksz,3584
hdrmc_stksz,8400
hdrrx_stksz,2800
hdrsrch_stksz,3336
hdrtx_stksz,7680
hs_stksz,4096
hsu_al_ms_stksz,2048
hsu_al_task_stksz,2048
ims_stksz,32768
imshom_stksz,16384
ixcontentclnt_stksz,16384
ixcontentsvc_stksz,16384
ixfilesvc_stksz,16384
ixhttpsvc_stksz,16384
ixtimesvc_stksz,16384
lbs_stksz,16384
lm_stksz,16384
loc_middleware_stksz,16384
lsm_stksz,16384
mc_stksz,16384
mdsp_stksz,2048
menu_stksz,2048
mfmain_stksz,2100
mfmain_rex_apps_stksz,2100
mgpai_stksz,16384
mgpcd_stksz,8192
mgpmc_stksz,16384
mgpnf_stksz,24576
mm_stksz,16384
mmoc_stksz,8192
mn_cnm_stksz,6144
nf_stksz,98296
oncrpc_stksz,16384
oncrpc_proxy_stksz,16384
oncrpc_router_read_stksz,8192
pb_stksz,12288
pbm_stksz,8192
pdcommtcp_stksz,16384
pdcommwms_stksz,16384
pdsm_stksz,20480
pdsmsclient_stksz,1024
pgi_stksz,8192
pil_stksz,2048
pp_stksz,16384
ps_stksz,8192
ps_rm_stksz,4096
pwrdb_stksz,2048
qipcall_stksz,32768
qmi_stksz,4096
qmi_modem_stksz,16384
qmip_stksz,4096
qtv_audio_stksz,16384
qtv_dec_dlagenttask_stksz,16384
qtv_dec_dldspSvctask_stksz,16384
qtv_task10_stksz,16384
qtv_video_renderer_stksz,16384
qvp_ae_stksz,16384
qvp_app_stksz,16384
qvp_mm_stksz,16384
qvp_mpeg4_stksz,8192
qvp_rtp_stksz,40960
qvp_vfe_stksz,4096
qvpio_stksz,8192
qvppl_stksz,3072
rcinit_stksz,4096
reg_stksz,16384
rf_stksz,16384
rpc_stksz,4096
rr_stksz,32768
rrc_stksz,32768
rrcut_stksz,2048
rx_stksz,4096
rxtx_stksz,4096
sec_stksz,16384
seccryptarm_stksz,16384
secdrm_stksz,16384
secips_stksz,16384
secrnd_stksz,16384
secssl_stksz,16384
sectestapp_stksz,16384
sfat_stksz,4096
sfs_stksz,16384
sleep_stksz,2048
sm_stksz,16384
sm_tm_stksz,32768
sm_gm_stksz,16384
sns_stksz,12288
srch_stksz,6400
ssd_stksz,8192
sta_stksz,4096
sys_m_stksz,4096
tc_stksz,2048
tcptest_stksz,6400
tcxomgr_stksz,8192
tdso_stksz,2048
test_stksz,4000
time_ipc_stksz,4096
timer_slave1_stksz,4096
timer_slave2_stksz,4096
timer_slave3_stksz,4096
tlm_stksz,81992
trm_stksz,4096
tx_stksz,4096
ubm_l1_stksz,4200
udptest_stksz,6400
ui_stksz,10240
uim_stksz,4096
usbdc_stksz,4096
vbatt_stksz,4096
videoshare_stksz,32768
voc_stksz,4096
vs_stksz,8192
wcdma_l1_stksz,4608
wcdma_l2_dl_stksz,4608
wcdma_l2_ul_stksz,4608
wcdma_mac_hs_dl_stksz,2048
wlan_cp_stksz,32768
wlan_ds_stksz,8192
wlan_libra_osal_stksz,32768
wlan_libra_trp_stksz,20480
wlan_sec_stksz,8192
wlan_trp_stksz,20480
wms_stksz,9216
wplt_stksz,2048
xtm_stksz,8192
qmi_mmode_stksz,16384
qmi_pbm_stksz,16384
hitapp_stksz,4096
sd_stksz,16384
