TASK_LEGACY_AMSS_PRI_ORDER,NONHLOS_PRIORITY,TASK_LEGACY_NAME
COPY_TO_IMAGE_ROOT_BEFORE_MODIFICATION_TO_OVERRIDE_DEFAULTS,0,
SELECT_EXISTING_LEGACY_ALIAS_FOR_USE_AS_DUPLICATE_ENTRY_NOT_SUPPORTED,0,
SHARED_IST_PRI_ORDER,164,
DOG_PRI_ORDER,164,
TIMER_PRI_ORDER,163,
TIMER_SLAVE1_PRI_ORDER,162,
TIMER_SLAVE2_PRI_ORDER,162,
TIMER_SLAVE3_PRI_ORDER,162,
CC_PRI_ORDER,162,
GSM_L1_PRI_ORDER,161,
PIL_PRI_ORDER,161,
RF_PRI_ORDER,160,
GPLT_PRI_ORDER,159,
DISP_PRI_ORDER,158,
QTV_DEC_DLDSPSVCTASK_PRI_ORDER,157,
MDSP_PRI_ORDER,161,
TX_PRI_ORDER,156,
FC_PRI_ORDER,155,
SHARED_IST_SERVICE_PRI_ORDER,154,
WCDMA_L1_PRI_ORDER,153,
SYS_M_PRI_ORDER,152,
HDRDEC_PRI_ORDER,151,
HDRTX_PRI_ORDER,150,
RX_PRI_ORDER,149,
HDRRX_PRI_ORDER,161,
SRCH_PRI_ORDER,148,
PGI_PRI_ORDER,147,
HDRSRCH_PRI_ORDER,146,
HDRBC_PRI_ORDER,145,
SHARED_DRIVER_PRI_ORDER,161,
RPC_PRI_ORDER,144,
RXTX_PRI_ORDER,143,
SMD_PRI_ORDER,142,
ONCRPC_ROUTER_READ_PRI_ORDER,141,
ONCRPC_ROUTER_CORE_PRI_ORDER,140,
ONCRPC_PROXY_PRI_ORDER,139,
ONCRPC_PRI_ORDER,138,
QVPIO_PRI_ORDER,127,
QVP_VFE_PRI_ORDER,126,
QVP_AE_PRI_ORDER,125,
PP_PRI_ORDER,124,
WCDMA_L2_UL_PRI_ORDER,123,
WCDMA_MAC_HS_DL_PRI_ORDER,122,
WCDMA_L2_DL_PRI_ORDER,121,
GSM_L2_PRI_ORDER,120,
GMAC_PRI_ORDER,119,
GRLC_DL_PRI_ORDER,118,
GRLC_UL_PRI_ORDER,117,
BT_PRI_ORDER,116,
BT_FS_PRI_ORDER,115,
BT_PF_PRI_ORDER,114,
BT_FTM_PRI_ORDER,113,
SHARED_DRIVER_SERVICE_PRI_ORDER,112,
RCINIT_PRI_ORDER,112,
TMC_PRI_ORDER,112,
RRC_PRI_ORDER,109,
RR_PRI_ORDER,108,
DSWCSD_UL_PRI_ORDER,107,
DSWCSD_DL_PRI_ORDER,106,
DS_GCSD_PRI_ORDER,105,
GLLC_PRI_ORDER,104,
COMP_PRI_ORDER,103,
MM_PRI_ORDER,102,
REG_PRI_ORDER,101,
TC_PRI_ORDER,100,
SM_PRI_ORDER,99,
MN_CNM_PRI_ORDER,98,
MC_PRI_ORDER,97,
HDRMC_PRI_ORDER,96,
SD_PRI_ORDER,96,
AUTH_PRI_ORDER,95,
MMOC_PRI_ORDER,94,
MGPMC_PRI_ORDER,93,
LM_PRI_ORDER,92,
SM_TM_PRI_ORDER,91,
GNSS_SDP_PRI_ORDER,90,
LBS_PRI_ORDER,89,
PDCOMMTCP_PRI_ORDER,88,
PDCOMMWMS_PRI_ORDER,87,
TCXOMGR_PRI_ORDER,86,
TDSO_PRI_ORDER,85,
HSU_CONTROLLER_PRI_ORDER,84,
HSU_CORE_PRI_ORDER,83,
HSU_DRIVER_PRI_ORDER,82,
HSU_OTHER_PRI_ORDER,81,
SHARED_FOREGROUND_PRI_ORDER,80,
ECALL_APP_PRI_ORDER,79,
ECALL_IVS_PRI_ORDER,79,
ECALL_PSAP_PRI_ORDER,79,
LOC_MIDDLEWARE_PRI_ORDER,79,
THERMAL_PRI_ORDER,78,
PWRDB_PRI_ORDER,77,
DIAG_PRI_ORDER,76,
HITAPP_PRI_ORDER,76,
CM_PRI_ORDER,75,
FTM_PRI_ORDER,74,
AUDIOINIT_PRI_ORDER,73,
WMS_PRI_ORDER,72,
NF_PRI_ORDER,71,
CD_PRI_ORDER,70,
TRM_PRI_ORDER,70,
TLM_PRI_ORDER,69,
XTM_PRI_ORDER,68,
UI_PRI_ORDER,67,
SHARED_FOREGROUND_SERVICE_PRI_ORDER,67,
CTA_PRI_ORDER,66,
UIM_PRI_ORDER,65,
TIME_IPC_PRI_ORDER,64,
NV_PRI_ORDER,63,
FS_PRI_ORDER,62,
QIPCALL_PRI_ORDER,61,
SHARED_BACKGROUND_PRI_ORDER,60,
FS_CPU_HOG_PRI_ORDER,59,
FS_BENCHMARK_PRI_ORDER,58,
FS_COMPAT_PRI_ORDER,57,
PBM_PRI_ORDER,56,
GSDI_PRI_ORDER,55,
GSTK_PRI_ORDER,54,
DS_PRI_ORDER,53,
QMI_MODEM_PRI_ORDER,52,
DCC_PRI_ORDER,51,
DS_SIG_PRI_ORDER,50,
DH_PRI_ORDER,49,
SHARED_BACKGROUND_SERVICE_PRI_ORDER,48,
PS_PRI_ORDER,47,
PS_RM_PRI_ORDER,107,
WLAN_SEC_PRI_ORDER,45,
IMS_PRI_ORDER,44,
IMS_CB_PRI_ORDER,43,
QVP_MM_PRI_ORDER,42,
IMS_MEDIA_PRI_ORDER,41,
QVP_RTP_PRI_ORDER,40,
IXCONTENTSVC_PRI_ORDER,39,
IXCONTENTCLNT_PRI_ORDER,38,
SECIPS_PRI_ORDER,37,
AL1_PRI_ORDER,36,
RRCUT_PRI_ORDER,35,
SECRND_PRI_ORDER,34,
A2_PRI_ORDER,125,
A2_UL_PER_PRI_ORDER,106,
SSD_PRI_ORDER,31,
SECSSL_PRI_ORDER,30,
SEC_PRI_ORDER,29,
SMD_TEST_PRI_ORDER,28,
SHARED_IDLE_PRI_ORDER,27,
CB_PRI_ORDER,26,
CNE_PRI_ORDER,25,
SECCRYPTARM_PRI_ORDER,24,
SECTESTAPP_PRI_ORDER,23,
BCDB_PRI_ORDER,22,
GPSFFT_PRI_ORDER,21,
GPS_FS_PRI_ORDER,20,
FS_HOTPLUG_PRI_ORDER,19,
RPC_PING_MDM_PRI_ORDER,18,
DOG_KEEPALIVE_PRI_ORDER,10,
T0_MONITOR_PRI_ORDER,9,
SHARED_IDLE_SERVICE_PRI_ORDER,8,
TDSCDMA_L1_PRI_ORDER,161,
TDSCDMA_L2_UL_PRI_ORDER,123,
TDSCDMA_MAC_HS_DL_PRI_ORDER,122,
TDSCDMA_L2_DL_PRI_ORDER,121,
TDSCDMA_RRC_PRI_ORDER,110,
TPLT_PRI_ORDER,110,
SLEEP_PRI_ORDER,1,
